SearchAddUserToFolder_Autocomplete,SharedFolders.FolderAccess.ShareFoldersWithUser
CannotRevokeAccessToEncryptedEmailAndExpired,Inbox.EncryptedEmail
DownloadReport_Access_User,AdminSettings.Reporting
NonLockOwnerDownloadFolderWithCheckedOutFileAndExtraFolder,PersonalFolders.CheckInCheckOut.Download
RemoveEmployeeFromFolderWithBulkFolderAccess,ManageUsers.Employees.EditEmployee
SortFilesByUploaded,FileBox.SortFiles
NonLockOwnerCanOnlineViewCheckedOutImageFile,PersonalFolders.CheckInCheckOut.View
SendMultipleFilesIncludingCheckedOutFile,PersonalFolders.CheckInCheckOut.Send
MobileUnsupportedItemElementsHidden,MobileSpecific.MobileView
SendCheckedOutFileByGetALink,PersonalFolders.CheckInCheckOut.Send
MobileUnsupportedPrimaryElementsHidden,MobileSpecific.MobileView
SortSharedFoldersBySizeInThumbView,SharedFolders.Folders.SortFolders
NonLockOwnerCannotMoveCheckedOutFile,PersonalFolders.CheckInCheckOut.Move
EmailWithShareFileFromShareFile,Shares.Send
EmployeeUserWithProperNamingAndEmail,ManageUsers.Employees.CreateEmployee
SendEncryptedEmailWithAlreadySentAttachment,Inbox.EncryptedEmail
NonLockOwnerCannotDeleteCheckedOutFile,PersonalFolders.CheckInCheckOut.Delete
AddExistingUserToFolder,ManageUsers.Employees.CreateEmployee
RenameGroup,ManageUsers.DistributionGroups.EditGroups
CheckOutFileAndSendMultipleFilesWithDifferentUser,PersonalFolders.CheckInCheckOut.Send
AddInvalidUsersToSuperUserGroup,AdminSettings.SuperUserGroup.SuperUserGroup
RemoveClientAccessToAllFoldersInEntireCompany,ManageUsers.Clients.EditClient
NonLockOwnerMoveFolderContainingCheckedOutFile,PersonalFolders.CheckInCheckOut.Move
NonLockOwnerSendFolderContainingCheckedOutFileByGetALink,PersonalFolders.CheckInCheckOut.Send
MobileConsumeFullControlMultiFileShare,MobileSpecific.MobileView
AddEmployeeFromExcel,ManageUsers.Employees.CreateEmployee
UploadModifiedFileWithSameName,PersonalFolders.Files.UploadFiles
CreateEmployeeAndVerifyActivationLink,ManageUsers.Employees.CreateEmployee
SearchPersonalAddressBookByLetterTab,ManageUsers.AddressBook.Personal.SearchUsers
MarkMessageAsUnRead,Inbox.Archived
CopyFolderContainingCheckedOutFileThroughBulkOperations,PersonalFolders.CheckInCheckOut.Copy
DownloadReport_Storage_Folder,AdminSettings.Reporting
SendFolderContainingCheckedOutFile,PersonalFolders.CheckInCheckOut.Send
FilesFromDifferentLocationsOnShareFile,Shares.Send
ExcelViewOnlyShareByLink,Shares.ViewOnlyShares
MoveFolderContainingCheckedOutFile,PersonalFolders.CheckInCheckOut.Move
VOSRequireRecipientNameAndEmail,Shares.ViewOnlyShares
EditTimeFormat,PersonalSettings.EditMySettings
StrictEmployeeLicOn_UnableToCreateClient,ManageUsers.Clients.CreateClients
NonLockOwnerSendFolderContainingCheckedOutFile,PersonalFolders.CheckInCheckOut.Send
RenameFileInMyFilesAndCancel,PersonalFolders.Files.EditFiles
EditFolderWithCheckedOutFileByMoreOptions,PersonalFolders.CheckInCheckOut.Edit
MobileConsumeSingleDocShare,MobileSpecific.MobileView
UploadCheckedOutFileWithNonLockOwner,PersonalFolders.CheckInCheckOut.Upload
CannotMoveFileToCurrentLocation,PersonalFolders.Files.MoveFiles
MoveCheckedOutFileAndCheckNotification,PersonalFolders.CheckInCheckOut.Move
NonLockOwnerEditFolderWithCheckedOutFileByManageFolderActions,PersonalFolders.CheckInCheckOut.Edit
MoveFolderContainingCheckedOutFileByMoreOptionsMenu,PersonalFolders.CheckInCheckOut.Move
AdminNonLockOwnerDiscardLockOnCheckedOutFile,PersonalFolders.CheckInCheckOut.CheckInCheckOut
HideSuperUserGroupFromFolderAccessList,AdminSettings.SuperUserGroup.SuperUserGroup
AttachFromLocalComputer,Inbox.EncryptedEmail
AdminCanDeleteMultipleFilesAfterDiscardingLock,PersonalFolders.CheckInCheckOut.Delete
NonLockOwnerDeleteFolderContainingCheckedOutFileByBulkOperations,PersonalFolders.CheckInCheckOut.Delete
CopyNoteToSameFolder,MoreOptions.Notes.CopyNotes
ModifyAfterSendEmailMeWhenViewed,Shares.ViewOnlyShares
SortMyFoldersBySizeInThumbView,PersonalFolders.Folders.SortFolders
AddEmployeeToFolderWithBulkFolderAccess,ManageUsers.Employees.EditEmployee
SortSharedFoldersByUploadTimeInListView,SharedFolders.Folders.SortFolders
FindInWOPIViewerXLS,PersonalFolders.Files.ViewFiles
SortByUploadedForRecipientOfSharedFolderInThumbView,SharedFolders.Folders.SortFolders
GenerateFolderAccessReportForDistributionGroup,ManageUsers.DistributionGroups.GroupReporting
CreateNewFileDropAndRename,AdminSettings.FileDrops.CreateFileDrops
FileFromShareFileAndFileFromComputer,Shares.Send
FileAlreadyExistsInCopyDestination,PersonalFolders.Files.CopyFiles
OpenActivationLinkAndLogin,ManageUsers.Employees.CreateEmployee
DownloadFolderContainingCheckedOutFile,PersonalFolders.CheckInCheckOut.Download
SortMyFoldersByUploadTimeInThumbView,PersonalFolders.Folders.SortFolders
FindInWOPIViewerXLSX,PersonalFolders.Files.ViewFiles
RenameFolderInMyFilesAndCancel,PersonalFolders.Folders.EditFolders
NonLockOwnerDeleteFolderContainingCheckedOutFileByMoreOptionsMenu,PersonalFolders.CheckInCheckOut.Delete
MobileJumpToFullView,MobileSpecific.MobileView
EditFolderTemplateAddNewFolder,AdminSettings.DynamicFolderTemplates.DynamicFolderTemplates
NonLockOwnerDownloadFolderWithCheckedOutFileByManageFolderActions,PersonalFolders.CheckInCheckOut.Download
CheckOutFileAndCopyMultipleFilesWithDifferentUser,PersonalFolders.CheckInCheckOut.Copy
CopyCheckedOutFile,PersonalFolders.CheckInCheckOut.Copy
ReplyAllToEncryptedEmail,Inbox.EncryptedEmail
ArchiveASentFilesMessage,Inbox.Inbox
DownloadFolderWithSubFolderContainingFileAndCheckedOutFile,PersonalFolders.CheckInCheckOut.Download
CreateDuplicateFolderInMyFiles,PersonalFolders.Folders.CreateFolders
NonLockOwnerUploadCheckedOutFileAndUnZip,PersonalFolders.CheckInCheckOut.Upload
PowerPointViewOnlyShareByLink,Shares.ViewOnlyShares
NonLockOwnerEditFolderWithCheckedOutFileByBulkOperations,PersonalFolders.CheckInCheckOut.Edit
UserCanBeOptedOutOfUserAccessPolicy,PolicyBasedAdministration.ManageUsers
DownloadReport_Usage_Folder,AdminSettings.Reporting
NonLockOwnerCopyFolderContainingCheckedOutFileByFolderActions,PersonalFolders.CheckInCheckOut.Copy
DownloadReport_Usage_EntireAccount,AdminSettings.Reporting
EncryptedEmail_ViewArchived,Inbox.EncryptedEmail
CreateAndVerifyActivationLink,ManageUsers.Clients.CreateClients
DownloadFolderContainingFileAndCheckedOutFile,PersonalFolders.CheckInCheckOut.Download
ViewEventRecordedInUsageReport,AdminSettings.Reporting
SearchClientByLetterTab,ManageUsers.Clients.SearchClients
FolderFromShareFileAndFileFromLocalDirectory,Shares.Send
SortByUploadedForRecipientOfSharedFolderInListView,SharedFolders.Folders.SortFolders
CannotDownloadEmptyFolder,PersonalFolders.Folders.DownloadFolder
NonAdminNonLockOwnerCannotDiscardLockOnCheckedOutFile,PersonalFolders.CheckInCheckOut.CheckInCheckOut
CreateNewFileDropAndVerifySendTo,AdminSettings.FileDrops.CreateFileDrops
MoveMultipleFilesIncludingCheckedOutFile,PersonalFolders.CheckInCheckOut.Move
CloneUserPermissions_PermissionsAppliedToSubfolders,SharedFolders.FolderAccess.ShareFoldersWithUser
GiveMeALinkEmailMeWhenViewed,Shares.ViewOnlyShares
VerifyNonLockOwnerDisabledOptions,PersonalFolders.CheckInCheckOut.CheckInCheckOut
CheckOutFileAndSendWithDifferentUser,PersonalFolders.CheckInCheckOut.Send
CreateEmployeeCannotChangePasswordAndActivate,ManageUsers.Employees.CreateEmployee
SearchClientFromManageUsersHome,ManageUsers.Clients.SearchClients
CreateMessagingReportNoData,AdminSettings.Reporting
DiscardLockWithContextualActions,PersonalFolders.CheckInCheckOut.CheckInCheckOut
UploadModifiedFileWithSameNameAndOverwrite,PersonalFolders.Files.UploadFiles
OfficeOnlineViewOptionNotAvailableForNonSupportedFiles,PersonalFolders.Files.ViewFiles
DownloadReport_BandwidthDetail_User,AdminSettings.Reporting
MoveFolderContainingCheckedOutFileThroughBulkOperations,PersonalFolders.CheckInCheckOut.Move
OfficeOnlineEditEventRecordedInActivityLog,PersonalFolders.Folders.ActivityLog
AddNewFolderInNewFolderTemplate,AdminSettings.DynamicFolderTemplates.DynamicFolderTemplates
AddClientFromExcel,ManageUsers.Clients.CreateClients
SortMyFoldersByUploadTimeInListView,PersonalFolders.Folders.SortFolders
EditViewsPerUserByLink,Shares.ViewOnlyShares
EmailMeWhenViewedUserOnlyOneNotification,Shares.ViewOnlyShares
AdminCanMoveMultipleFilesAfterDiscardingLock,PersonalFolders.CheckInCheckOut.Move
AdminCanDeleteCheckedOutFileAfterDiscardingLock,PersonalFolders.CheckInCheckOut.Delete
RemoveUserFromSuperUserGroupUsingCheckbox,AdminSettings.SuperUserGroup.SuperUserGroup
MoveFileFromSharedFoldersToLocationContainingFileWithSameNameVersioningDisabled,SharedFolders.Files.MoveFiles
NonLockOwnerSendFolderContainingCheckedOutFileWithBulkOperations,PersonalFolders.CheckInCheckOut.Send
SendCheckedOutFile,PersonalFolders.CheckInCheckOut.Send
